quantity,estimate,ci_lo,ci_hi,boot_se
dense,1.405352120046289,1.3901558767076865,1.4206334260503193,0.007731176917215881
1200,1.34214033414789,1.3272044754809875,1.3570591842086228,0.00764152168316422
event,1.3961682214297662,1.3813297765994632,1.4112638261556556,0.007586459076198709
dense-event,0.009183898616522912,0.006788445457777526,0.011753032521219191,0.0012654904088636209
