x_read,sd_over_Delta,n_draws,cbar,qbar,cov_cq,var_c,var_q,G2_pred_mean,G2_meas_mean,wbar,agree_arm1,agree_arm2,frac_offres,G2_sd,G2_min,G2_max,G2_max_absdiff_pred_meas,max_abs_pooled_qq
5,0,64,0.9642383454,0.1725185858,2.77333912e-32,1.109335648e-31,6.9333478e-33,1.942713867e-31,-1.110223025e-16,0.2898011118,0.9642383454,0.9642383454,0,0,1.942713867e-31,1.942713867e-31,1.110223025e-16,1.110223025e-16
5,0.1,64,0.9642014718,0.1753546136,1.236374955e-05,1.64634398e-06,9.493056829e-05,8.549161316e-05,8.549161316e-05,0.289870818,0.9642014718,0.9642014718,0,1.13417212e-05,5.971675953e-05,0.0001121222996,1.909686602e-16,4.440892099e-16
5,0.2,64,0.9640971578,0.1774250718,4.83514735e-05,6.674697869e-06,0.0003811503864,0.0003311574489,0.0003311574489,0.290291672,0.9640971578,0.9640971578,0,4.520241076e-05,0.0002352468578,0.0004427880803,1.672923952e-16,4.440892099e-16
5,0.3,64,0.963923851,0.1807128414,0.0001041536137,1.537208196e-05,0.0008512324297,0.0007031071673,0.0007031071673,0.2909784141,0.963923851,0.963923851,0,9.258106157e-05,0.0005205816468,0.0009574306705,1.866996141e-16,4.440892099e-16
5,0.5,64,0.9633582094,0.191747203,0.0002563150634,4.615886428e-05,0.002327219418,0.001652235557,0.001652235557,0.2930284711,0.9633582094,0.9633582094,0,0.000214228219,0.001184571884,0.002144782644,2.224782858e-16,3.330669074e-16
5,0.7,64,0.9624667068,0.2052701987,0.0004005591982,0.0001024944684,0.004145253897,0.002452381305,0.002452381305,0.2957882645,0.9624667068,0.9624667068,0,0.000410930281,0.001451310462,0.003293801034,1.660997728e-16,4.440892099e-16
5,0.9,64,0.9611842682,0.2204208837,0.0004541413162,0.0002031064976,0.005924205481,0.00263952813,0.00263952813,0.2989078895,0.9611842682,0.9611842682,0,0.000839060953,0.000587080082,0.003942490806,1.834470076e-16,3.330669074e-16
5,1.1,64,0.9594097163,0.2347988461,0.0002924603131,0.0003891059822,0.007463339292,0.001629758676,0.001629758676,0.3020264187,0.9594097163,0.9594097163,0,0.0018052068,-0.003470964023,0.004245884815,1.838806885e-16,4.440892099e-16
5,1.2,64,0.9582955093,0.2420635347,0.0001119671695,0.0005381113868,0.008200371763,0.0006178543563,0.0006178543563,0.3034615786,0.9582955093,0.9582955093,0,0.002439752294,-0.006330847086,0.004201700853,1.524388255e-16,3.330669074e-16
5,1.25,64,0.9576731352,0.2453680561,-2.670450148e-05,0.0006328658943,0.008572009013,-0.0001326087294,-0.0001326087294,0.3041378363,0.9576731352,0.9576731352,0,0.002889527042,-0.008390055769,0.004088683677,1.882174971e-16,4.440892099e-16
5,1.3,64,0.9570038831,0.2488465579,-0.0001766907568,0.0007440810038,0.008941544187,-0.0009285346758,-0.0009285346758,0.3047729156,0.9570038831,0.9570038831,0,0.003321945242,-0.009777147963,0.003902961928,2.185209479e-16,3.330669074e-16
5,1.35,64,0.9562852699,0.2521636567,-0.0003507263715,0.0008742178613,0.009306022122,-0.001837423696,-0.001837423696,0.3053645099,0.9562852699,0.9562852699,0.00015625,0.003753683027,-0.01205310705,0.003642229369,2.125036258e-16,4.440892099e-16
5,1.4,64,0.9555149018,0.2555260287,-0.0005523276642,0.001025907172,0.009704516849,-0.002873758544,-0.002873758544,0.305913353,0.9555149018,0.9555149018,0.00015625,0.004316386719,-0.01436181319,0.003297824309,1.45716772e-16,3.330669074e-16
5,1.45,64,0.9546905304,0.2587107721,-0.0007966110045,0.001201915572,0.01011003377,-0.004117031083,-0.004117031083,0.3064179671,0.9546905304,0.9546905304,0.0003125,0.004878515554,-0.0168948067,0.002889589527,1.734723476e-16,3.330669074e-16
