sd_over_Delta,draw,focal_m_min,focal_m_end,U_undershoot,eps_at_min,T4_defined,U_at_frozen_lattice,db_m_min,db_m_end,db_offset_post,db_shape_post,db_rms_post,db_maxabs,db_corr_post,db_monotonicity_violation
0.5,1,-0.67235111,-0.40771644,0.2415702,4.5486498,1,0.24084898,-0.19692424,-0.19692424,-0.21316639,0.038463029,0.21660867,0.55126979,0.82514792,6.152856e-13
0.5,2,-0.66311789,-0.40790357,0.23233698,4.4720065,1,0.22844113,-0.19692344,-0.19692344,-0.2133074,0.037144069,0.21651727,0.54204864,0.8290394,5.2846616e-13
0.5,3,-0.66074182,-0.40789337,0.22996091,4.3830764,1,0.22612536,-0.19692401,-0.19692401,-0.21335971,0.036726835,0.21649763,0.53975996,0.82202926,4.0356607e-13
0.5,4,-0.67192577,-0.40785846,0.24114486,4.4304992,1,0.23660201,-0.19692322,-0.19692322,-0.2132445,0.038321361,0.21666043,0.55072644,0.82161162,5.0148774e-13
0.5,5,-0.66577344,-0.40788115,0.23499252,4.4237646,1,0.2337032,-0.1969237,-0.1969237,-0.21331361,0.037485153,0.21658217,0.54485498,0.82816533,4.9982241e-13
0.5,6,-0.66119398,-0.407868,0.23041306,4.5027393,1,0.22517785,-0.196924,-0.196924,-0.21331612,0.036869349,0.2164789,0.54031487,0.8357349,3.1041836e-13
0.5,7,-0.67616443,-0.40786548,0.24538351,4.4151656,1,0.24102351,-0.19692292,-0.19692292,-0.21328945,0.038708799,0.21677352,0.55475806,0.8062898,5.8464344e-13
0.7,0,-0.64010656,-0.40782667,0.20932565,4.4993457,1,0.20672586,-0.19692611,-0.19692611,-0.21330121,0.034199637,0.21602551,0.51997825,0.85788093,3.8458126e-13
0.7,1,-0.64133124,-0.4078484,0.21055033,4.5486077,1,0.20648444,-0.19692609,-0.19692609,-0.21329704,0.034514936,0.21607153,0.52146452,0.86136095,3.7070347e-13
0.7,2,-0.62561215,-0.40785126,0.19483124,4.4954022,1,0.19109299,-0.19692497,-0.19692497,-0.21331485,0.032752627,0.21581464,0.50560226,0.87174146,3.5360603e-13
0.7,3,-0.62177598,-0.40789096,0.19099506,4.3709001,1,0.18723459,-0.19692556,-0.19692556,-0.21343304,0.032147459,0.2158405,0.50190445,0.85942026,2.4746871e-13
0.7,4,-0.64044281,-0.40783833,0.20966189,4.504312,1,0.20543676,-0.19692467,-0.19692467,-0.21330915,0.034201129,0.21603359,0.52013599,0.85509821,3.1818992e-13
0.7,5,-0.62998833,-0.40786341,0.19920741,4.4545314,1,0.19876343,-0.19692533,-0.19692533,-0.21337388,0.033034634,0.21591595,0.51045642,0.8602018,3.2573944e-13
0.7,6,-0.62203434,-0.4079455,0.19125343,4.5117604,1,0.18585558,-0.19692556,-0.19692556,-0.21336443,0.03220006,0.2157805,0.50230324,0.87275238,1.9417801e-13
0.7,7,-0.64762188,-0.40782507,0.21684096,4.4158249,1,0.2129868,-0.19692424,-0.19692424,-0.2133568,0.034782322,0.21617339,0.52713792,0.83953349,3.6515235e-13
0.9,0,-0.60277139,-0.40791499,0.17199047,4.5328963,1,0.16676303,-0.19692776,-0.19692776,-0.21340754,0.030086068,0.21551786,0.48391219,0.88582988,2.6378899e-13
0.9,1,-0.60472018,-0.40785837,0.17393927,4.6152894,1,0.16551089,-0.19692774,-0.19692774,-0.21333714,0.030656907,0.21552861,0.4863913,0.89267339,2.8343994e-13
0.9,2,-0.58482333,-0.40786204,0.15404242,4.5859401,1,0.14898107,-0.1969263,-0.1969263,-0.21340364,0.028453926,0.21529222,0.46554138,0.90155992,2.6256775e-13
0.9,3,-0.58011579,-0.40784782,0.14933488,4.4259356,1,0.14391486,-0.19692731,-0.19692731,-0.2135373,0.027688815,0.21532499,0.46101048,0.88488285,1.7885693e-13
0.9,4,-0.60378171,-0.40796647,0.1730008,4.5112049,1,0.16838954,-0.19692591,-0.19692591,-0.21349059,0.030130592,0.21560632,0.48444507,0.885941,2.2382096e-13
0.9,5,-0.58930156,-0.40789136,0.15852064,4.4181464,1,0.15843962,-0.19692676,-0.19692676,-0.21348134,0.028784331,0.21541314,0.47165051,0.88844168,2.4946711e-13
0.9,6,-0.57834851,-0.40791923,0.1475676,4.5880042,1,0.14094516,-0.19692731,-0.19692731,-0.21346883,0.027749652,0.21526492,0.45992926,0.90429736,1.3211654e-13
0.9,7,-0.61307596,-0.40782963,0.18229505,4.4164842,1,0.17865263,-0.19692557,-0.19692557,-0.21344928,0.030815702,0.21566224,0.49370564,0.87133218,2.4213964e-13
1.1,0,-0.56352156,-0.40794344,0.13274064,4.5662265,1,0.12657005,-0.19692961,-0.19692961,-0.2135282,0.026213181,0.21513118,0.44596171,0.90990799,2.3092639e-13
1.1,1,-0.56554498,-0.40783783,0.13476406,4.6817541,1,0.1235986,-0.19692959,-0.19692959,-0.21336014,0.027068854,0.21507039,0.44929667,0.91784912,2.2071234e-13
1.1,2,-0.54695081,-0.40789921,0.1161699,4.7439352,1,0.10753098,-0.19692783,-0.19692783,-0.21352675,0.024637506,0.21494343,0.42803178,0.92502122,2.4580338e-13
1.1,3,-0.54262308,-0.40787099,0.11184216,4.5485445,1,0.10175135,-0.19692906,-0.19692906,-0.2135778,0.023960203,0.21491758,0.4236536,0.91134968,1.4910295e-13
1.1,4,-0.56524707,-0.40784032,0.13446616,4.5853181,1,0.12852219,-0.19692735,-0.19692735,-0.21344902,0.026315197,0.21506504,0.44699961,0.91198272,1.7352786e-13
1.1,5,-0.54827771,-0.407867,0.1174968,4.5160649,1,0.11733627,-0.19692839,-0.19692839,-0.21350368,0.025158431,0.21498085,0.43259516,0.91602805,1.8873791e-13
1.1,6,-0.53585574,-0.40784336,0.10507482,4.664494,1,0.094790243,-0.19692905,-0.19692905,-0.2135082,0.023782949,0.21482872,0.41830579,0.92880627,9.9698028e-14
1.1,7,-0.5755274,-0.40785862,0.14474649,4.4843153,1,0.14045065,-0.19692669,-0.19692669,-0.21352766,0.02699768,0.21522764,0.45703164,0.8994594,2.0106139e-13
1.2,0,-0.54430629,-0.40790987,0.11352537,4.6164743,1,0.10795205,-0.19693052,-0.19693052,-0.21349143,0.024494584,0.21489201,0.42744857,0.92248465,1.9995117e-13
1.2,1,-0.54600777,-0.40793451,0.11522686,4.6812448,1,0.10396301,-0.19693049,-0.19693049,-0.21340798,0.025415437,0.21491606,0.43092164,0.92815294,2.0539126e-13
1.2,2,-0.5307382,-0.40782368,0.099957289,4.8230904,1,0.088358012,-0.19692858,-0.19692858,-0.21348846,0.022963125,0.21471989,0.41174419,0.93432618,2.4236169e-13
